Model,Type,RMSE_mean,RMSE_std
Stacking,Meta-Ensemble,0.11595681230276284,0.0
Ridge,Base,0.1161350728328505,0.036489833072790336
Lasso,Base,0.11627162207716799,0.035115760898488745
LightGBM,Boosting,0.12465621989429769,0.044762047986428466
XGBoost,Boosting,0.12470589673952805,0.04509936732925381
RandomForest,Bagging,0.13477304493235137,0.03708656191635798
DecisionTree,Base,0.17941419641416106,0.051721204013227794
KNN,Base,0.2151792460641041,0.04924554933352669
